Print ISSN,E-ISSN,Field,Journal Title,Publisher,AJG 2024
0004-9018,1467-8462,ECON,Australian Economic Review,Wiley-Blackwell,1
1406-099X,2334-4385,ECON,Baltic Journal of Economics,Taylor & Francis,1
2398-063X,2398-0648,ECON,Behavioural Public Policy,Cambridge University Press,1
0007-4918,1472-7234,ECON,Bulletin of Indonesian Economic Studies,Taylor & Francis,1
0007-666X,1554-432X,ECON,Business Economics,Springer Nature,1
1756-137X,1756-1388,ECON,China Agricultural Economic Review,Emerald,1
1671-2234,1749-124X,ECON,China and World Economy,Wiley-Blackwell,1
1753-8963,1753-8971,ECON,China Economic Journal,Taylor & Francis,1
,2332-2039,ECON,Cogent Economics and Finance,Taylor & Francis,1
0888-7233,1478-3320,ECON,Comparative Economic Studies,Springer Nature,1
0927-7099,1572-9974,ECON,Computational Economics,Springer Nature,1
1043-4062,1572-9966,ECON,Constitutional Political Economy,Springer Nature,1
2084-0845,2300-8814,ECON,Contemporary Economics,University of Economics and Human Sciences in Warsaw,1
2199-1227,2199-1235,ECON,Credit and Capital Markets,Duncker & Humblot GmbH,1
0013-063X,1572-9982,ECON,De Economist,Springer Nature,1
1593-8883,1129-6569,ECON,Decisions in Economics and Finance,Springer Nature,1
2153-0785,2153-0793,ECON,Dynamic Games and Applications,Springer Nature,1
0094-5056,1939-4632,ECON,Eastern Economic Journal,Springer Nature,1
0012-8775,1557-9298,ECON,Eastern European Economics,Taylor & Francis,1
,2225-1146,ECON,Econometrics,Multidisciplinary Digital Publishing Institute (MDPI),1
1517-7580,2358-2820,ECON,EconomiA,Emerald,1
1578-0732,2174-7350,ECON,Economia Agraria y Recursos Naturales – Agricultural and Resource Economics,Universitat Politècnica de València,1
0313-5926,0313-5926,ECON,Economic Analysis and Policy,Elsevier,1
0012-9984,0012-9984,ECON,Economic and Social Review,Economic and Social Studies,1
1573-9414,1574-0277,ECON,Economic Change and Restructuring,Springer Nature,1
1363-7029,2514-5479,ECON,Economic Issues,Nottingham Trent University,1
0391-5026,1468-0300,ECON,Economic Notes,Wiley-Blackwell,1
1331-677X,1848-9664,ECON,Economic Research-Ekonomska Istraživanja,Taylor & Francis,1
,2254-4380,ECON,Economics and Business Letters,Universidad de Oviedo,1
2071-789X,2306-3459,ECON,Economics and Sociology,Centre of Sociological Research,1
2160-5882,2160-5890,ECON,Economics of Energy and Environmental Policy,International Association for Energy Economics,1
1435-6104,1435-8131,ECON,Economics of Governance,Springer Nature,1
2212-0122,2212-0130,ECON,Economics of Transportation,Elsevier,1
,2227-7099,ECON,Economies,Multidisciplinary Digital Publishing Institute (MDPI),1
1553-3832,1553-3832,ECON,Economists' Voice,Walter de Gruyter,1
0964-5292,1469-5782,ECON,Education Economics,Taylor & Francis,1
1994-5124,2411-2658,ECON,Ekonomicheskaya Politika / Economic Policy,The Russian Academy of National Economy and Public Administration (RANEPA),1
0013-3205,2299-6184,ECON,Ekonomista,Polish Economic Society; Institute of Economics Polish Academy of Sciences,1
0340-8744,1573-6911,ECON,Empirica,Springer Nature,1
1432-847X,1867-383X,ECON,Environmental Economics and Policy Studies,Springer Nature,1
1309-422X,2147-429X,ECON,Eurasian Economic Review,Springer Nature,1
2052-7764,2052-7772,ECON,European Journal of Economics and Economic Policies: Intervention,Edward Elgar Publishing Ltd.,1
0929-1261,1572-9990,ECON,European Journal of Law and Economics,Springer Nature,1
0015-2218,1614-0974,ECON,FinanzArchiv,JCB Mohr,1
2194-6191,1558-9544,ECON,Forum for Health Economics and Policy,Walter de Gruyter,1
1551-3076,1551-3084,ECON,Foundations and Trends in Econometrics,Now Publishers Inc.,1
2073-4336,,ECON,Games,Multidisciplinary Digital Publishing Institute (MDPI),1
1226-508X,1744-3873,ECON,Global Economic Review,Taylor & Francis,1
2194-5659,1553-5304,ECON,Global Economy Journal,World Scientific,1
0974-9101,0975-2730,ECON,Global Journal of Emerging Market Economies,SAGE,1
0210-1173,2386-4176,ECON,Hacienda Pública Española / Review of Public Economics,Instituto de Estudios Fiscales (España),1
2047-8747,2047-8755,ECON,Interdisciplinary Journal of Economics and Business Law,CJEAS Ltd,1
0020-5346,1613-964X,ECON,Intereconomics,Sciendo,1
1083-0898,1573-966X,ECON,International Advances in Economic Research,Springer Nature,1
1016-8737,1743-517X,ECON,International Economic Journal,Taylor & Francis,1
2110-7017,2542-6869,ECON,International Economics,Elsevier,1
0219-1989,1793-6675,ECON,International Game Theory Review,World Scientific,1
1757-1170,1757-1189,ECON,International Journal of Computational Economics and Econometrics,Inderscience Publishers,1
0973-1385,0973-7537,ECON,International Journal of Ecological Economics and Statistics,CESER Publications,1
2049-2790,2049-2804,ECON,International Journal of Happiness and Development,Inderscience Publishers,1
0891-1916,1558-0970,ECON,International Journal of Political Economy,Taylor & Francis,1
0306-8293,1758-6712,ECON,International Journal of Social Economics,Emerald,1
0269-2171,1465-3486,ECON,International Review of Applied Economics,Taylor & Francis,1
0021-4027,2366-049X,ECON,Jahrbucher fur Nationalokonomie und Statistik,Walter de Gruyter,1
0922-1425,1879-2006,ECON,Japan and the World Economy,Elsevier,1
1352-4739,1468-5876,ECON,Japanese Economic Review,Springer Nature,1
2329-194X,2329-1958,ECON,Japanese Political Economy,Taylor & Francis,1
1614-3485,1867-8343,ECON,Journal for Labour Market Research,Springer Nature,1
1074-0708,2056-7405,ECON,Journal of Agricultural & Applied Economics,Cambridge University Press,1
1542-0485,1542-0485,ECON,Journal of Agricultural and Food Industrial Organization,Walter de Gruyter,1
0969-6997,1873-2089,ECON,Journal of Air Transport Management,Elsevier,1
1514-0326,1667-6726,ECON,Journal of Applied Economics,Taylor & Francis,1
1049-0078,1873-7927,ECON,Journal of Asian Economics,Elsevier,1
1387-6996,1573-6989,ECON,Journal of Bioeconomics,Springer Nature,1
1755-5345,1755-5345,ECON,Journal of Choice Modelling,Elsevier,1
1744-6414,1744-6422,ECON,Journal of Competition Law & Economics,Oxford University Press,1
0022-037X,1548-2278,ECON,Journal of Developing Areas,Tennessee State University College of Business,1
,2156-6674,ECON,Journal of Econometric Methods,Walter de Gruyter,1
2054-6238,2054-6246,ECON,Journal of Economic and Administrative Sciences,Emerald,1
1995-7076,2312-2803,ECON,Journal of Economic and Financial Sciences,AOSIS (pty) Ltd,1
1703-4949,2352-8397,ECON,Journal of Economic Asymmetries,Elsevier,1
1308-7800,2980-1125,ECON,Journal of Economic Cooperation and Development,"Statistical, Economic and Social Research and Training Centre for Islamic Countries (SESRIC)",1
0022-0485,2152-4068,ECON,Journal of Economic Education,Taylor & Francis,1
1225-651X,1976-5525,ECON,Journal of Economic Integration,Sejong University,1
1860-711X,1860-7128,ECON,Journal of Economic Interaction and Coordination,Springer Nature,1
1748-7870,1748-7889,ECON,Journal of Economic Policy Reform,Taylor & Francis,1
,1751-8008,ECON,Journal of Gambling Business and Economics,UBP,1
0926-6437,1874-6322,ECON,Journal of Income Distribution,Ad libros publications inc.,1
0391-2078,1972-4977,ECON,Journal of Industrial and Business Economics,Springer Nature,1
0260-1079,2321-5305,ECON,Journal of Interdisciplinary Economics,SAGE,1
0963-8199,1469-9559,ECON,Journal of International Trade and Economic Development,Taylor & Francis,1
2399-844X,2399-8458,ECON,Journal of Mechanism and Institution Design,Society for the Promotion of Mechanism and Institution Design,1
0899-7764,1532-7736,ECON,Journal of Media Economics,Taylor & Francis,1
1354-7860,1469-9648,ECON,Journal of the Asia Pacific Economy,Taylor & Francis,1
2199-6776,2199-6784,ECON,Journal of the Economic Science Association,Springer Nature,1
2196-9639,2196-9647,ECON,Man and the Economy,Walter de Gruyter,1
0026-1386,1467-999X,ECON,Metroeconomica,Wiley-Blackwell,1
2191-2203,2191-2211,ECON,Mineral Economics,Springer Nature,1
1800-5845,1800-6698,ECON,Montenegrin Journal of Economics,"Economic Laboratory for Transition Research, Podgorica",1
0027-9501,1741-3036,ECON,National Institute Economic Review,Cambridge University Press,1
0028-0739,0028-0739,ECON,Natural Resources Journal,University of New Mexico School of Law,1
1385-9587,1573-7071,ECON,NETNOMICS: Economic Research and Electronic Networking,Springer Nature,1
0077-9954,1943-4863,ECON,New Zealand Economic Papers,Taylor & Francis,1
1079-2457,1554-8597,ECON,"Peace Economics, Peace Science and Public Policy",Walter de Gruyter,1
1617-982X,1617-9838,ECON,Portuguese Economic Journal,Springer Nature,1
1463-1377,1465-3958,ECON,Post-Communist Economies,Taylor & Francis,1
2037-3635,2037-3643,ECON,PSL Quarterly Review,Economia Civile Association,1
1752-8925,1752-8925,ECON,Quantitative and Qualitative Analysis in Social Sciences,The York Research Database,1
,2573-0134,ECON,Quantitative Finance and Economics,AIMS Press,1
1098-3708,1936-4806,ECON,Quarterly Journal of Austrian Economics,Ludwig Von Mises Institute,1
1090-9443,1090-9451,ECON,Research in Economics,Elsevier,1
0739-8859,1875-7979,ECON,Research in Transportation Economics,Elsevier,1
0889-3047,1573-7128,ECON,Review of Austrian Economics,Springer Nature,1
,1973-3909,ECON,Review of Economic Analysis,International Centre for Economic Analysis,1
2356-9980,2631-3561,ECON,Review of Economics and Political Science,Emerald,1
1058-3300,1873-5924,ECON,Review of Financial Economics,Wiley-Blackwell,1
0486-6134,1552-8502,ECON,Review of Radical Political Economics,SAGE,1
2618-7213,2405-4739,ECON,Russian Journal of Economics,Non profit partnership “Voprosy Ekonomiki”,1
1869-4187,1869-4195,ECON,SERIEs,Springer Nature,1
1015-8812,2222-3436,ECON,South African Journal of Economic and Management Sciences,AOSIS (pty) Ltd,1
0038-2280,1813-6982,ECON,South African Journal of Economics,Wiley-Blackwell,1
1391-5614,0973-077X,ECON,South Asia Economic Journal,SAGE,1
1932-1864,1932-1872,ECON,Statistical Analysis and Data Mining,Wiley-Blackwell,1
1944-012X,1944-0138,ECON,Strategic Behavior and the Environment,Now Publishers Inc.,1
1418-2106,2063-0476,ECON,Studies in Agricultural Economics,NAIK Research Institute of Agricultural Economics,1
1086-7376,1755-6791,ECON,Studies in Economics and Finance,Emerald,1
2321-0222,2321-8398,ECON,Studies in Microeconomics,SAGE,1
,2235-6282,ECON,Swiss Journal of Economics and Statistics,Springer Nature,1
0736-0932,1874-6381,ECON,The Forum for Social Economics,Taylor & Francis,1
2326-6899,2326-6902,ECON,The Journal of Retirement,Portfolio Management Research,1
0040-747X,1467-9663,ECON,Tijdschrift Voor Economische en Sociale Geografie,Wiley-Blackwell,1
1042-2587,1540-6520,ENT-SBM,Entrepreneurship Theory and Practice,SAGE,4*
0883-9026,1873-2003,ENT-SBM,Journal of Business Venturing,Elsevier,4*
1932-4391,1932-443X,ENT-SBM,Strategic Entrepreneurship Journal,Wiley-Blackwell,4
0898-5626,1464-5114,ENT-SBM,Entrepreneurship and Regional Development,Taylor & Francis,3
0894-4865,1741-6248,ENT-SBM,Family Business Review,SAGE,3
1355-2554,1758-6534,ENT-SBM,International Journal of Entrepreneurial Behaviour and Research,Emerald,3
0266-2426,1741-2870,ENT-SBM,International Small Business Journal,SAGE,3
0047-2778,1540-627X,ENT-SBM,Journal of Small Business Management,Taylor & Francis,3
0921-898X,1573-0913,ENT-SBM,Small Business Economics,Springer Nature,3
2194-6175,2157-5665,ENT-SBM,Entrepreneurship Research Journal,Walter de Gruyter,2
1465-7503,2043-6882,ENT-SBM,International Journal of Entrepreneurship and Innovation,SAGE,2
1476-1297,1741-8054,ENT-SBM,International Journal of Entrepreneurship and Small Business,Inderscience Publishers,2
1649-2269,2009-2822,ENT-SBM,International Review of Entrepreneurship,Senate Hall,2
2352-6734,2352-6734,ENT-SBM,Journal of Business Venturing Insights,Elsevier,2
1877-8585,1877-8593,ENT-SBM,Journal of Family Business Strategy,Elsevier,2
1471-5201,1471-5201,ENT-SBM,Journal of Research in Marketing and Entrepreneurship,Emerald,2
1462-6004,1462-6004,ENT-SBM,Journal of Small Business and Enterprise Development,Emerald,2
1942-0676,1942-0684,ENT-SBM,Journal of Social Entrepreneurship,Taylor & Francis,2
1369-1066,1464-5343,ENT-SBM,Venture Capital,Taylor & Francis,2
1554-7191,1555-1938,ENT-SBM,International Entrepreneurship and Management Journal,Springer Nature,1
1742-5360,1742-5379,ENT-SBM,International Journal of Entrepreneurial Venturing,Inderscience Publishers,1
1468-4330,1741-8127,ENT-SBM,International Journal of Management and Enterprise Development,Inderscience Publishers,1
2576-7712,2576-7720,ENT-SBM,International Journal of Small and Medium Enterprises,Centre for Research on Islamic Banking & Finance and Business,1
1750-6204,1750-6204,ENT-SBM,Journal of Enterprising Communities,Emerald,1
0218-4958,1793-6330,ENT-SBM,Journal of Enterprising Culture,World Scientific,1
0971-3557,0973-0745,ENT-SBM,Journal of Entrepreneurship,SAGE,1
2393-9575,2394-9945,ENT-SBM,Journal of Entrepreneurship and Innovation in Emerging Economies,SAGE,1
2045-2101,2045-211X,ENT-SBM,Journal of Entrepreneurship and Public Policy,Emerald,1
2053-4604,2053-4612,ENT-SBM,Journal of Entrepreneurship in Emerging Economies,Emerald,1
2299-7075,2299-7326,ENT-SBM,"Journal of Entrepreneurship, Management and Innovation",Cognitione Foundation for the Dissemination of Knowledge and Science,1
1570-7385,1573-7349,ENT-SBM,Journal of International Entrepreneurship,Springer Nature,1
0827-6331,2169-2610,ENT-SBM,Journal of Small Business and Entrepreneurship,Taylor & Francis,1
,2531-0046,ENT-SBM,Small Business International Review,Spanish Accounting and Business Administration Association (AECA) and Universidad Politécnica de Cartagena (UPCT),1
1321-5906,1175-0979,ENT-SBM,Small Enterprise Research,Taylor & Francis,1
1750-8614,1750-8533,ENT-SBM,Social Enterprise Journal,Emerald,1
1746-0573,1746-0581,ENT-SBM,"World Review of Entrepreneurship, Management and Sustainable Development",Inderscience Publishers,1
1941-6520,1941-6067,ETHICS-CSR-MAN,Academy of Management Annals,Academy of Management,4*
0001-4273,1948-0989,ETHICS-CSR-MAN,Academy of Management Journal,Academy of Management,4*
0363-7425,1930-3807,ETHICS-CSR-MAN,Academy of Management Review,Academy of Management,4*
0001-8392,1930-3815,ETHICS-CSR-MAN,Administrative Science Quarterly,Johnson School at Cornell University,4*
0149-2063,1557-1211,ETHICS-CSR-MAN,Journal of Management,SAGE,4*
1558-9080,1943-4529,ETHICS-CSR-MAN,Academy of Management Perspectives,Academy of Management,4
1045-3172,1467-8551,ETHICS-CSR-MAN,British Journal of Management,Wiley-Blackwell,4
0022-2380,1467-6486,ETHICS-CSR-MAN,Journal of Management Studies,Wiley-Blackwell,4
,2168-1007,ETHICS-CSR-MAN,Academy of Management Discoveries,Academy of Management,3
0007-6503,1552-4205,ETHICS-CSR-MAN,Business and Society,SAGE,3
1052-150X,2153-3326,ETHICS-CSR-MAN,Business Ethics Quarterly,Cambridge University Press,3
0008-1256,2162-8564,ETHICS-CSR-MAN,California Management Review,Haas School of Business,3
1740-4754,1740-4762,ETHICS-CSR-MAN,European Management Review,Wiley-Blackwell,3
0891-2432,1552-3977,ETHICS-CSR-MAN,Gender and Society,SAGE,3
0968-6673,1468-0432,ETHICS-CSR-MAN,"Gender, Work and Organization",Wiley-Blackwell,3
0017-8012,0017-8012,ETHICS-CSR-MAN,Harvard Business Review,Harvard Business School Publishing,3
1460-8545,1468-2370,ETHICS-CSR-MAN,International Journal of Management Reviews,Wiley-Blackwell,3
0167-4544,1573-0697,ETHICS-CSR-MAN,Journal of Business Ethics,Springer Nature,3
0148-2963,1873-7978,ETHICS-CSR-MAN,Journal of Business Research,Elsevier,3
1056-4926,1552-6542,ETHICS-CSR-MAN,Journal of Management Inquiry,SAGE,3
1532-9194,1532-8937,ETHICS-CSR-MAN,MIT Sloan Management Review,MIT Press,3
2332-2373,2332-2381,ETHICS-CSR-MAN,Africa Journal of Management,Taylor & Francis,2
0312-8962,1327-2020,ETHICS-CSR-MAN,Australian Journal of Management,SAGE,2
2340-9436,2340-9444,ETHICS-CSR-MAN,BRQ Business Research Quarterly,Elsevier,2
1469-3569,1369-5258,ETHICS-CSR-MAN,Business and Politics,Cambridge University Press,2
2694-6416,2694-6424,ETHICS-CSR-MAN,"Business Ethics, the Environment and Responsibility",Wiley-Blackwell,2
0007-6813,1873-6068,ETHICS-CSR-MAN,Business Horizons,Elsevier,2
0825-0383,1936-4490,ETHICS-CSR-MAN,Canadian Journal of Administrative Sciences,Wiley-Blackwell,2
1024-5294,1477-2221,ETHICS-CSR-MAN,Competition and Change,SAGE,2
2040-7149,2040-7149,ETHICS-CSR-MAN,"Equality, Diversity and Inclusion: an International Journal",Emerald,2
1309-4297,2147-4281,ETHICS-CSR-MAN,Eurasian Business Review,Springer Nature,2
0955-534X,1758-7107,ETHICS-CSR-MAN,European Business Review,Emerald,2
1350-5068,1461-7420,ETHICS-CSR-MAN,European Journal of Women's Studies,SAGE,2
0263-2373,1873-5681,ETHICS-CSR-MAN,European Management Journal,Elsevier,2
1354-5701,1466-4372,ETHICS-CSR-MAN,Feminist Economics,Taylor & Francis,2
0141-7789,1466-4380,ETHICS-CSR-MAN,Feminist Review,SAGE,2
0972-2696,0974-0198,ETHICS-CSR-MAN,Global Journal of Flexible Systems Management,Springer Nature,2
2277-9752,2321-029X,ETHICS-CSR-MAN,IIM Kozhikode Society & Management Review,SAGE,2
1477-9048,1741-802X,ETHICS-CSR-MAN,International Journal of Business Governance and Ethics,Inderscience Publishers,2
1044-4068,1758-8545,ETHICS-CSR-MAN,International Journal of Conflict Management,Emerald,2
1756-6266,1756-6274,ETHICS-CSR-MAN,International Journal of Gender and Entrepreneurship,Emerald,2
0020-8825,1558-0911,ETHICS-CSR-MAN,International Studies of Management and Organization,Taylor & Francis,2
1469-1930,1758-7468,ETHICS-CSR-MAN,Journal of Intellectual Capital,Emerald,2
1833-3672,1839-3527,ETHICS-CSR-MAN,Journal of Management and Organization,Cambridge University Press,2
0025-1747,1758-6070,ETHICS-CSR-MAN,Management Decision,Emerald,2
0935-9915,1861-9908,ETHICS-CSR-MAN,Management Revue,Nomos Verlagsgesellschaft mbH und Co,2
1863-6683,1863-6691,ETHICS-CSR-MAN,Review of Managerial Science,Springer Nature,2
0956-5221,1873-3387,ETHICS-CSR-MAN,Scandinavian Journal of Management,Elsevier,2
0341-2687,2366-6153,ETHICS-CSR-MAN,Schmalenbach Journal of Business Research,Springer Nature,2
0360-0025,1573-2762,ETHICS-CSR-MAN,Sex Roles,Springer Nature,2
0097-9740,1545-6943,ETHICS-CSR-MAN,Signs,University of Chicago Press,2
2413-1903,1684-1999,ETHICS-CSR-MAN,Acta Commercii,AOSIS (pty) Ltd,1
1935-5181,1935-5181,ETHICS-CSR-MAN,American Journal of Business,Emerald,1
2398-7308,2398-7316,ETHICS-CSR-MAN,Annals of Work Exposures and Health,Oxford University Press,1
0972-8201,0973-0621,ETHICS-CSR-MAN,Asian Journal of Management Cases,SAGE,1
1746-5265,1746-5273,ETHICS-CSR-MAN,Baltic Journal of Management,Emerald,1
0277-2027,2153-7828,ETHICS-CSR-MAN,Business & Professional Ethics Journal,Philosophy Documentation Center,1
2057-0198,2057-0201,ETHICS-CSR-MAN,Business and Human Rights Journal,Cambridge University Press,1
2278-5337,2394-9937,ETHICS-CSR-MAN,Business Perspectives and Research,SAGE,1
1544-9106,1544-9106,ETHICS-CSR-MAN,CASE Journal,Emerald,1
,2331-1975,ETHICS-CSR-MAN,Cogent Business and Management,Taylor & Francis,1
1580-0466,2335-4216,ETHICS-CSR-MAN,Economic and Business Review,University of Ljubljana School of Economics and Business,1
,2045-0621,ETHICS-CSR-MAN,Emerald Emerging Markets Case Studies,Emerald,1
2319-7145,2455-2658,ETHICS-CSR-MAN,FIIB Business Review,SAGE,1
1754-2413,1754-2421,ETHICS-CSR-MAN,Gender in Management: An International Journal,Emerald,1
0972-1509,0973-0664,ETHICS-CSR-MAN,Global Business Review,SAGE,1
1480-8986,1480-8986,ETHICS-CSR-MAN,International Journal of Arts Management,Ecole des Hautes Etudes Commerciales,1
2042-3845,2042-3853,ETHICS-CSR-MAN,International Journal of Business Competition and Growth,Inderscience Publishers,1
1740-0589,1740-0597,ETHICS-CSR-MAN,International Journal of Business Environment,Inderscience Publishers,1
1756-0047,1756-0055,ETHICS-CSR-MAN,International Journal of Business Excellence,Inderscience Publishers,1
2449-8920,2449-8939,ETHICS-CSR-MAN,International Journal of Contemporary Management,Jagiellonian University,1
1479-3059,1479-3067,ETHICS-CSR-MAN,International Journal of Globalisation and Small Business,Inderscience Publishers,1
2040-4468,2040-4476,ETHICS-CSR-MAN,International Journal of Knowledge-Based Development,Inderscience Publishers,1
1462-4621,1741-5187,ETHICS-CSR-MAN,International Journal of Management and Decision Making,Inderscience Publishers,1
1478-1484,1741-8135,ETHICS-CSR-MAN,International Journal of Management Concepts and Philosophy,Inderscience Publishers,1
1477-9064,1741-8143,ETHICS-CSR-MAN,International Journal of Management Practice,Inderscience Publishers,1
,2304-1366,ETHICS-CSR-MAN,"International Journal of Management, Economics and Social Sciences",IJMESS Int'l Publishers,1
1753-8378,1753-8386,ETHICS-CSR-MAN,International Journal of Managing Projects in Business,Emerald,1
2008-7055,2345-3745,ETHICS-CSR-MAN,Iranian Journal of Management Studies,University of Tehran,1
,2451-2834,ETHICS-CSR-MAN,Irish Journal of Management,Sciendo,1
1746-966X,1746-9678,ETHICS-CSR-MAN,Journal for Global Business Advancement,Inderscience Publishers,1
1415-6555,1982-7849,ETHICS-CSR-MAN,Journal of Contemporary Administration,ANPAD - Associação Nacional de Pós Graduação e Pesquisa em Administração,1
2394-9643,2454-213X,ETHICS-CSR-MAN,Journal of Creating Value,SAGE,1
2043-6238,2043-6246,ETHICS-CSR-MAN,Journal of Family Business Management,Emerald,1
0306-3070,1759-6106,ETHICS-CSR-MAN,Journal of General Management,SAGE,1
2041-2568,2041-2568,ETHICS-CSR-MAN,Journal of Global Responsibility,Emerald,1
0971-6858,0973-0737,ETHICS-CSR-MAN,Journal of Human Values,SAGE,1
1755-4195,1755-4209,ETHICS-CSR-MAN,Journal of Indian Business Research,Emerald,1
2075-6291,2521-2249,ETHICS-CSR-MAN,Journal of Islamic Business & Management,Riphah Centre of Islamic Business (RCIB),1
1385-3457,1572-963X,ETHICS-CSR-MAN,Journal of Management and Governance,Springer Nature,1
2413-8657,2313-0113,ETHICS-CSR-MAN,Journal of Management Sciences,IQRA University,1
1476-6086,1942-258X,ETHICS-CSR-MAN,"Journal of Management, Spirituality and Religion","International Association of Management, Spirituality and Religion",1
1476-6930,1477-657X,ETHICS-CSR-MAN,Journal of Revenue and Pricing Management,Springer Nature,1
1331-0194,1846-3363,ETHICS-CSR-MAN,Management,University of Split - Faculty of Economics,1
2040-8269,2040-8277,ETHICS-CSR-MAN,Management Research Review,Emerald,1
1368-3047,1758-8057,ETHICS-CSR-MAN,Measuring Business Excellence,Emerald,1
0972-6225,2348-9324,ETHICS-CSR-MAN,Metamorphosis- A Journal of Management Research,SAGE,1
1541-6518,1541-6518,ETHICS-CSR-MAN,Organization Management Journal,Emerald,1
1477-3996,1477-4003,ETHICS-CSR-MAN,Policy and Practice in Health and Safety,Taylor & Francis,1
1727-7051,1810-5467,ETHICS-CSR-MAN,Problems and Perspectives in Management,Business Perspectives,1
2399-1747,2398-4007,ETHICS-CSR-MAN,PSU Research Review: An International Interdisciplinary Journal,Emerald,1
0034-7590,2178-938X,ETHICS-CSR-MAN,RAE Revista de Administracao de Empresas,"Fundacao Getulio Vargas, Escola de Administracao de Empresas de Sao Paulo",1
2531-0488,2531-0488,ETHICS-CSR-MAN,RAUSP Management Journal,Emerald,1
0961-7353,2469-4126,ETHICS-CSR-MAN,Safety and Reliability,Taylor & Francis,1
1747-1117,1758-857X,ETHICS-CSR-MAN,Social Responsibility Journal,Emerald,1
2277-9779,2321-0303,ETHICS-CSR-MAN,South Asian Journal of Business and Management Cases,SAGE,1
2398-628X,2398-6298,ETHICS-CSR-MAN,South Asian Journal of Business Studies,Emerald,1
1593-0300,1593-0319,ETHICS-CSR-MAN,Symphonya. Emerging Issues in Management,"Rector Fabio Fortuna, Niccolò Cusano University-Rome",1
0133-0179,,ETHICS-CSR-MAN,Vezetlstudomány | Budapest Management Review,Corvinus University of Budapest,1
0256-0909,2395-3799,ETHICS-CSR-MAN,Vikalpa,SAGE,1
0972-2629,2249-5304,ETHICS-CSR-MAN,Vision,SAGE,1
0022-1082,1540-6261,FINANCE,Journal of Finance,Wiley-Blackwell,4*
0304-405X,1879-2774,FINANCE,Journal of Financial Economics,Elsevier,4*
0893-9454,1465-7368,FINANCE,Review of Financial Studies,Oxford University Press,4*
0929-1199,1872-6313,FINANCE,Journal of Corporate Finance,Elsevier,4
0022-1090,1756-6916,FINANCE,Journal of Financial and Quantitative Analysis,Cambridge University Press,4
1042-9573,1096-0473,FINANCE,Journal of Financial Intermediation,Elsevier,4
0022-2879,1538-4616,FINANCE,"Journal of Money, Credit and Banking",Wiley-Blackwell,4
1572-3097,1573-692X,FINANCE,Review of Finance,Oxford University Press,4
1941-1367,1941-1375,FINANCE,Annual Review of Financial Economics,Annual Reviews Inc.,3
0964-8410,1467-8683,FINANCE,Corporate Governance: An International Review,Wiley-Blackwell,3
1354-7798,1468-036X,FINANCE,European Financial Management,Wiley-Blackwell,3
1351-847X,1466-4364,FINANCE,European Journal of Finance,Taylor & Francis,3
0949-2984,1432-1122,FINANCE,Finance and Stochastics,Springer Nature,3
0015-198X,1938-3312,FINANCE,Financial Analysts Journal,Taylor & Francis,3
0046-3892,1755-053X,FINANCE,Financial Management,Wiley-Blackwell,3
0963-8008,1468-0416,FINANCE,"Financial Markets, Institutions and Instruments",Wiley-Blackwell,3
0732-8516,1540-6288,FINANCE,Financial Review,Wiley-Blackwell,3
0167-6687,1873-5959,FINANCE,Insurance: Mathematics and Economics,Elsevier,3
1815-4654,1815-7556,FINANCE,International Journal of Central Banking,Association of the International Journal of Central Banking,3
1076-9307,1099-1158,FINANCE,International Journal of Finance and Economics,Wiley-Blackwell,3
1057-5219,1873-8079,FINANCE,International Review of Financial Analysis,Elsevier,3
0378-4266,1872-6372,FINANCE,Journal of Banking and Finance,Elsevier,3
2405-8513,2405-8505,FINANCE,Journal of Commodity Markets,Elsevier,3
0927-5398,1879-1727,FINANCE,Journal of Empirical Finance,Elsevier,3
1479-8409,1479-8417,FINANCE,Journal of Financial Econometrics,Oxford University Press,3
1386-4181,1878-576X,FINANCE,Journal of Financial Markets,Elsevier,3
0270-2592,1475-6803,FINANCE,Journal of Financial Research,Wiley-Blackwell,3
0920-8550,1573-0735,FINANCE,Journal of Financial Services Research,Springer Nature,3
1572-3089,1878-0962,FINANCE,Journal of Financial Stability,Elsevier,3
0270-7314,1096-9934,FINANCE,Journal of Futures Markets,Wiley-Blackwell,3
1042-4431,1873-0612,FINANCE,"Journal of International Financial Markets, Institutions and Money",Elsevier,3
0261-5606,1873-0639,FINANCE,Journal of International Money and Finance,Elsevier,3
0095-4918,2168-8656,FINANCE,Journal of Portfolio Management,Portfolio Management Research,3
0895-5638,1573-045X,FINANCE,Journal of Real Estate Finance and Economics,Springer Nature,3
0022-4367,1539-6975,FINANCE,Journal of Risk and Insurance,Wiley-Blackwell,3
0960-1627,1467-9965,FINANCE,Mathematical Finance,Wiley-Blackwell,3
1469-7688,1469-7696,FINANCE,Quantitative Finance,Taylor & Francis,3
2045-9920,2045-9939,FINANCE,Review of Asset Pricing Studies,Oxford University Press,3
2046-9128,2046-9136,FINANCE,Review of Corporate Finance Studies,Oxford University Press,3
0924-865X,1573-7179,FINANCE,Review of Quantitative Finance and Accounting,Springer Nature,3
2381-6724,2381-6732,FINANCE,Annals of Corporate Governance,Now Publishers Inc.,2
1614-2446,1614-2454,FINANCE,Annals of Finance,Springer Nature,2
1350-486X,1466-4313,FINANCE,Applied Mathematical Finance,Taylor & Francis,2
1387-2834,1573-6946,FINANCE,Asia-Pacific Financial Markets,Springer Nature,2
